id;name;age;gender;phone_number;status;created_at;updated_at;is_deleted;deleted_at;deleted_by
1;decision and phew;1871;MALE;controvert afore;ACTIVE;2025-09-23T02:42:34;2025-09-23T08:04:04;false;2025-09-23T04:51:01;3e405135-01f5-42da-a977-85c738ded29d
2;sociable;15023;FEMALE;draw as gah;INACTIVE;2025-09-23T02:54:50;2025-09-22T21:13:12;false;2025-09-22T18:04:46;f40a7db3-93f9-47b0-897d-4df785336ef6
3;ah for except;24930;MALE;generally demob anenst;ACTIVE;2025-09-23T13:31:02;2025-09-23T10:59:50;true;2025-09-23T12:28:46;1dcb81cf-0626-4667-98b7-03fb34840bd5
4;which or;8253;OTHER;drat unto vibration;ACTIVE;2025-09-23T12:37:15;2025-09-23T09:54:16;false;2025-09-22T14:46:36;c48dda6a-400f-4a9a-a5d5-8f4011ab43ca
5;gah across brave;18177;MALE;gurn stall;INACTIVE;2025-09-23T11:24:03;2025-09-23T01:22:21;false;2025-09-23T08:04:48;837f21b6-7ecb-4a1f-9749-a2d1b8201b03
6;unless;30167;MALE;bend;INACTIVE;2025-09-23T04:58:03;2025-09-23T01:32:16;false;2025-09-22T17:07:54;fd458e20-1bc2-42b1-86db-cecab0950c03
7;nor regarding incline;9740;MALE;scrape;ACTIVE;2025-09-22T14:13:59;2025-09-23T08:22:41;false;2025-09-22T16:38:36;c1f8fcb1-3d88-4469-b69a-23921d520dc5
8;fisherman closely;31103;MALE;however muffled gift;ACTIVE;2025-09-23T00:40:38;2025-09-23T07:52:58;false;2025-09-22T17:20:00;02e02a7c-f6c8-480b-aad0-e95d3f1973b4
9;failing deceivingly;28874;FEMALE;pish;INACTIVE;2025-09-22T23:27:43;2025-09-23T03:07:45;false;2025-09-23T07:09:45;3837c84e-78f7-4d87-82c0-ad3b9df9ae6f
10;yowza;23947;FEMALE;meanwhile failing as;ACTIVE;2025-09-23T01:54:22;2025-09-23T00:16:24;false;2025-09-23T11:36:18;f6ca650b-028f-4620-a1a5-6bfdc18fdc26
