id;keycloak_id;email;phone_number;first_name;last_name;date_of_birth;is_verified;is_active;last_login_at;created_at;updated_at;is_deleted;deleted_at;deleted_by
1;3edd3a53-7624-46b0-96a1-bb3c9787e3d5;"~@!^t``.w,kO8";plain other circa;Irving;Koelpin;2025-09-22;false;true;2025-09-22T17:09:12;2025-09-22T22:24:38;2025-09-22T18:49:49;true;2025-09-23T08:43:18;cb5174a0-0f45-4862-9554-5124649b74bb
2;4f2724a6-4d3e-404b-b0d9-7cf98874d1ac;"9@<F*p.LVz";behest;Jordyn;Ernser;2025-09-23;true;false;2025-09-23T00:01:06;2025-09-23T05:19:42;2025-09-23T05:32:49;false;2025-09-23T00:35:13;aa8070f0-2741-4ba5-b09b-736fa688c5f8
3;df1e09ab-ab32-41e4-8392-e93569fd5e3f;"C,V_F@nOCo%.#6E=Yn";emphasize um;Johnathon;Corkery;2025-09-23;true;true;2025-09-23T10:27:50;2025-09-22T14:51:10;2025-09-23T10:47:01;true;2025-09-23T12:59:12;b6ab3cd9-94aa-48aa-8c69-37e3c314e1fb
4;8c081f92-419f-4d61-8ce9-410dacd745b7;"%r@^VC?87.~gPQH2";blue drat yahoo;Hulda;Auer;2025-09-22;false;false;2025-09-23T04:06:09;2025-09-23T01:57:32;2025-09-22T16:00:52;false;2025-09-22T15:00:39;6eabd21e-aa61-4026-8e08-7085de4b85b6
5;5a3259af-30c9-4e37-bdbf-f45b045a6607;"EU&jV@LY*$.g&kY";yum which service;Janet;Towne;2025-09-22;false;false;2025-09-22T23:12:34;2025-09-23T03:00:12;2025-09-23T02:38:37;false;2025-09-23T11:14:16;d601acd6-970e-4143-adde-4b116a55ce6e
6;a8a5983b-2c26-4f76-9603-3a69ac9b892d;"GB@WR+.\!&6!";wherever;Herta;Jast;2025-09-22;false;false;2025-09-23T09:22:52;2025-09-23T00:48:18;2025-09-22T14:27:38;false;2025-09-23T04:20:08;9ff04519-9f00-4758-8c40-6e134b4bb77f
7;791c2eba-bc72-4c58-aadc-db6e829108a8;"otbe@32:IG.i0p";nauseate off;Jaime;Boyle;2025-09-23;true;false;2025-09-22T17:54:38;2025-09-22T22:09:47;2025-09-22T23:25:01;true;2025-09-22T22:22:18;af455fea-24db-47e8-adb2-47c1658a8890
8;d934f6cc-0c02-499d-9626-dacc51d6e574;"=`;XBs@E.azyHr";about;Anabelle;Stracke;2025-09-22;false;false;2025-09-22T15:10:11;2025-09-23T02:27:23;2025-09-22T19:24:24;true;2025-09-23T12:46:13;b91d15ae-fd4a-4de3-a00b-358447b03459
9;3c3402a0-82ee-4c43-b840-8d01c9bf2a9a;"hp@GvWTx.8tI)";throughout cannibalise;Winfield;Price;2025-09-23;false;true;2025-09-23T06:41:36;2025-09-22T19:34:18;2025-09-23T00:41:15;false;2025-09-22T21:33:11;7a3cca98-b910-4bd1-82ea-f7e7a39ddc2e
10;d43d3857-0a8c-4b1d-a434-d4aaa16bd733;"06<J-@zVqZZ{.6%,J%G";gradient how notwithstanding;Kenyon;Schumm;2025-09-23;true;true;2025-09-23T03:33:37;2025-09-23T04:33:19;2025-09-22T15:25:29;false;2025-09-22T20:52:28;e5df19b8-6796-4e62-96a4-195dbe2602b1
