id;full_name;birth_date;created_at;updated_at;is_deleted;deleted_at;deleted_by
1;joyfully dead until;2025-09-20;2025-09-21T06:42:27;2025-09-21T11:28:11;false;2025-09-21T12:19:08;1524f87d-597b-4d50-a145-6b9c44dc7e78
2;magnetize;2025-09-21;2025-09-20T16:35:52;2025-09-21T05:05:18;false;2025-09-20T21:39:33;9b61856c-2079-4074-b302-0655a81eb3db
3;challenge youthfully;2025-09-20;2025-09-21T01:58:39;2025-09-20T19:28:46;false;2025-09-21T05:54:17;9353d378-6bd7-4c13-9c52-14df081d69e4
4;on pfft drat;2025-09-21;2025-09-20T17:28:27;2025-09-21T11:57:31;true;2025-09-20T20:08:25;f5fe24be-0b69-400b-bed5-8cd71b0a959d
5;pfft exaggerate daughter;2025-09-20;2025-09-21T15:09:29;2025-09-21T01:46:29;true;2025-09-20T19:31:13;82c6dc67-982b-4372-88fc-ea80c4bd5bb6
6;impressionable handful;2025-09-21;2025-09-20T21:45:26;2025-09-20T17:43:01;false;2025-09-20T18:15:44;0619b36e-75c1-49cf-a3c5-a763a062057b
7;signature;2025-09-21;2025-09-20T20:27:10;2025-09-21T05:55:25;true;2025-09-21T11:40:37;fcfb1dec-919a-45a5-b3a0-752d3bc3eb7d
8;now;2025-09-21;2025-09-21T00:05:01;2025-09-21T00:23:36;true;2025-09-20T21:54:07;10ddb3a7-25c8-4bfb-9768-b5a34153e500
9;who amendment favorite;2025-09-20;2025-09-20T22:40:53;2025-09-20T19:02:10;false;2025-09-21T05:55:01;30391f34-1d2e-4cef-a3e9-92fcdafbe00a
10;in;2025-09-20;2025-09-21T04:55:38;2025-09-20T19:58:47;true;2025-09-21T15:10:06;5452ca2e-190b-4de9-8ca0-8996665721c4
