id;seat_id;first_name;last_name;id_number;date_of_birth;nationality;ticket_number;booking_id
1;c81b2ef4-d015-4f53-b21d-4f3e789f2ff7;Damaris;Durgan;phooey commodity wiggly;2025-09-14;pish;near;1
2;e38efecc-d13b-4b06-9fbe-4cdf41093ecb;Bernice;Wintheiser;equally demobilise foot;2025-09-13;cope;idolized per spotless;2
3;feed829e-bb2a-4b4a-9139-39870878ab60;Breanne;Jacobs;digitize within pish;2025-09-13;unless;citizen on nectarine;3
4;d86c7dab-e4d1-4366-ba33-8ee6d16b078e;Bryce;Nitzsche;unto;2025-09-13;less nor;hm citizen;4
5;492054d8-1d8d-44ff-a1a3-a88a2f70c373;Eugenia;Gislason;miskey although;2025-09-14;knife;grandson cautiously;5
6;bc0d2d6b-a7b4-4f4e-b8e7-f7dcdd5d768e;Seamus;King;gleaming average;2025-09-13;though submitter;pine;6
7;8583dd97-5823-4e05-8176-7b5df5a06338;Alessia;Labadie;however lest;2025-09-13;although nearly;now pro under;7
8;90a89ee5-8531-461b-aadd-2a40edaf86a9;Elody;MacGyver;amidst bah;2025-09-14;passport geez;once;8
9;b47825bc-fb8f-451b-85dd-bdcd754d791b;Enid;Jacobi;phooey loudly bootleg;2025-09-14;while;pish whoa;9
10;76191dc3-1cf5-42d6-84ab-3815a9793a17;Larissa;Kling;warp;2025-09-14;perfection energetically;injunction ouch;10
